품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Yorkshire Terrier(요크셔 테리어),MN,2170,D_VIP,s 통증 목부위를 만지면 아파하는것 같다고 함 식욕도 약간 떨어짐 우측 하악부위 촉진시 통증반응 심함 구강관찰시 출혈있음 혈액검사 특이소견없음 흉부방사선상 특이소견 없음 치과치료의 필요성 안내드림 이번주 day time 로 예약함 스켈링 치아방사선 및 발치 모든이를 다 발치할수도 있다고 안내드림. 정확한 비용은 그때 가서 알려드릴수 있음 day 오후 time 치과치료 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,207,7
K.C(Korean Cat),MN,2170,B_W,치주염이 의심이 되어 내원함 month 전부터 이전 먹은 사료를 먹지 않음 사료를 먹지 않아 새로 사료를 사주었는데도 먹지 않음 예방접종은 어릴때 하고 이후에 하지 않음 소변을 보지 못해서 처치를 받음 현재 소변은 정상적인 상태임 month 전부터 먹는것이 줄어서 변양이 불어 들었음 오른족 뺨을 만지면 아파함 오르쪽 뺨을 대고 냄새를 맡으면 썩은냄새가 남 pcr검사 결과를 보고 보호자님과 치주염이나 구내염 virus관련 부분을 상담할 예정임 ,,4, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,통증,통증,249,7
Poodles(푸들),MN,2082,B_W,hx month month 에 늘푸른 동물병원에서 피부병 관련 진료받음 total time cg dl 갑상선호르몬제 스테로이드제 등 내복약 처방받아 투여 month time 에 체중 측정 시 이전과 비교해 감소 kg kg month time 에 설사 다음 다뇨 증상 관련 약물 투여 중단 체중 감소 kg kg month time 에 늘푸른 동물병원에서 혈액 검사 및 복부 초음파 검사 실시 당시 혈액 검사 결과 고혈당 간효소치 상승 alt alp 등 당시 복부 초음파 검사 결과 간 치밀도 증가 등 인슐린은 처방받지 않고 당뇨병 관련 처방 사료 royal canin diabetic 급여 처방 사료 급여 후에도 다음 다뇨 증상 지속 내복약 투여 시와 비교해서는 다소 감소 배변 상태 특이 사항 없음 약 열흘 전부터 식욕 부진 사료에 삶은 닭가슴살 흰살 생선 채소 등 섞어서 급여 약 일주일 전부터 활력 저하 식욕 부진 심해짐 사료는 전혀 먹지 않고 다른 음식만 섭식 어제 저녁에 구운 쇠고기 삶은 닭가슴살 채소 급여 오늘 새벽에 구토 세 번 음식물 포말 섞인 액체 나옴 오늘 아침에 말린 연어 급여 오늘 오전에 두리틀 동물병원에서 진료받음 혈액 검사 결과 상태 좋지 않아 두리틀 동물병원에서 본원으로 진료 의뢰 당시 혈액 검사 결과 고혈당 간효소치 상승 alt ast alp ggt 췌장효소치 상승 amyl lipa 미측정 전해질 불균형 na cl 백혈구 증가증 mcl 등 현재 몸무게 kg 예전과 비교해 현저한 체중 감소 약 일주일 전에 누런 눈곱 많이 꼈는데 현재는 눈곱 많이 줄어든 상태 몸통에 있는 피지선종으로 추정되는 피부 종양에서 피가 나고 염증 있음 귓바퀴 부위 등의 인설 증상 pe qar bcs hr bpm rr time pm bt sbp time hg crt sec mildly delayed skin turgor normal pupil size ou positive pupillary light reflex ou mildly increased lens opacity ou positive menace response ou positive palpebral reflex ou bloodwork cbc leukocytosis mcl anemia hct chemistry increased glu tg amyl lipa alt ast alp ggt and ck decreased ip and ca electrolytes hyponatremia hypokalemia hypochloremia increased na ratio blood gas acidosis ph pco chco etc. ketone reference range crp reference range cpl reference range dimer reference range urinalysis color yellow sg money dipstick ph glucose ketone blood protein etc. sediment number of granular casts and lipid droplets x ray blunt liver margin ingesta filled stomach gas filled colon no remarkable findings on the lung fields abdominal ultrasonography enlargement of the pancreas diameter time hypoechoic pancreatic parenchyma with hyperechoic foci increased echogenicity and fine echotexture of the hepatic parenchyma small ill defined hypoechoic lesions in the hepatic parenchyma enlarged spleen and increased echogenicity of the splenic parenchyma increased echogenicity of both renal cortices mildly increased echogenicity of the corticomedullary junction of both kidneys mild dilatation of the left renal pelvis diameter of the adrenal glands left time right time no remarkable findings on the stomach gall bladder and urinary bladder wall thickening of the small intestine diameter time multifocal hyperechoic change of the mucosa of the small intestine dx diabetic ketoaciosis pancreatitis ddx enteritis corticosteroid induced hepatopathy 현 상태에서 입원 치료가 필수적이나 보호자가 비용 부담 많이 느껴 입원 치료에 회의적이라 보호자와 상의 후 일단 하루 동안이라도 입원 치료하기로 함 비용 할인해 주기로 함 인슐린 탄산수소나트륨 항구토제 항생제 항산화제 위보호제 등 투여 및 수액 요법 실시하며 경과 관찰 혈당 혈액 산도 전해질 모니터링 필수 췌장염 관련 신선 동결 혈장 투여 권고했으나 보호자가 비용 때문에 투여 원하지 않음 tx regular insulin dog prn im fluid therapy with s kcl time eq ornipural taurine vitamin fr time kg hr s kcl time eq ornipural taurine vitamin fr time kg hr s kcl time eq ornipural taurine vitamin fr time kg hr nahco time eq dog hr iv cri acetylcysteinetime kg once iv cri over time then time kg tid iv cri over time cefazolin time kg tid iv slowly metronidazole time kg bid iv cri over time cimetidine time kg tid iv slowly maropitant time kg sid iv slowly tramadol time kg tid iv slowly dalteparinu kg bid sc ,2244,"1,2,27,10,21,42", 췌장염 , 간 · 담도계 및 췌장 질환,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),체중 변화, 체중 증가, 체중 감소 ,다뇨/다발(다음),식욕부진, 식욕저하,혈변",구토(급성/만성),3163,6
Shih Tzu(시추),MN              ,2101,H,cc. 미용 후 이불에 자꾸 피가 묻어서 내원하심 생식기 끝에서 피가 뭍어 나는지 또는 항문에서 피가 나는 지 앉아있는 자리에서 피가 뭍어남 귀를 털고 가려워함 발도 자주 핥음 간식은 안 주시고 사료는 일반 건사료 주고 계심 가끔 고기먹을 때 한번씩 주심 미용하고 난 후부터 증상 시작됨 no murmur no dehydration 피부 등쪽 꼬리 근처 cm 가량의 round shape의 피부병변 있음 발바닥이나 항문 다른 피부에 염증이나 피가 날 만한 상처 없음 포피 포피끝부분 발적있으며 염증 물질 다량 확인됨 출혈의 가능성도 배제 할 수 없음 방사선 초음파 혈액검사 hct 이외에는 특이 소견 없음 귀 도말 배 시야에서 개 이상의 말라세지아 확인 사진 참조 포피염 외이염 전신 항생제 및 국소 소독약으로 소독 포피 및 귀 외용제 처방함 month 뒤 포피염 재진 및 외이 세정할 예정 rx. cefadroxil time kg bid famotidine time kg bid pentoxyfilline time kg bid 포피 소독 하루 회 클로로헥시딘으로 소독 외이 오리존 도포 ,,, 자궁 축농증 , 생식기 질환 ,,,553,5
Pekingese(페키니즈),FS,2001,D_VIP, money 선결제 송이 통화 이후 턱 부위의 부종 및 후지 부종 등 보임 건대 재내원하여 입원 처치 및 대사성 산증 등 교정 pe 내원 당시 장액성 양측성 비루 양측 sm ln 종대 빈호흡 경미한 노력성 giv vi holosystolic murmur in lt apex to rt 양측 후지 부종 및 좌측 전지 부종 복압 항진되어 있으나 파동감은 없음 혈액도말 neutrophil toxic basophilic formy 복부초음파 full scan gi tract by hyuna findings 담낭 벽의 점액 축적 초기 점액종으로 판단됨 총담관 양호 양측 신장 피질 에코 상승 우측 신장의 크기 저하 lk ao ratio rk ao ratio 양측 신장 신우 위치의 결석 및 좌측 신우 확장 time 우측 부신 종대 time 후대정맥 침습 관찰되지 않음 췌장의 전반적인 비후 좌측엽 최대 time 및 에코 저하 위 확장 및 액체 저류 shadowing 관찰되는 선형 물체 관찰됨 간식 음영의 가능성 있으므로 보호자와의 면담시 확인 필요합니다. imaging dx ddx gb mucocele early chronic kidney disease urolithiasis hyperadrenocorticism acute pancreatitis gastritis gastric foreign body 심장초음파 kg by hyuna findings mr severe mv remodeling severe tr time tv remodeling severe pr time 이완기능 저하 stage a ratio edvi ref. 수축기능 양호 esvi ref. la 압력 양호 peak time la ao ratio lvd ao ratio ddx degenerative bivalvular disease pulmonary arterial hypertension problem list assessment 참고 만성경과의 ckd 상태외에 과거 건대 검사시보다 전반적인 상태 크게 악화 ckd 현재 초기 핍뇨기로 진입할 우려 있어 배뇨확인 중요 췌장염 심증도로 상황에 따라 심한 복막염 및 패혈증 진행 가능성 있어 초기 적극적 치료 필요 심장 중증도 이상의 mmvd tvi pah 확인되며 후지 부종의 추가적인 원인으로 생각됨 갑기저 가능성 무척 높아 병행 치료 중 전반적인 위장관 염 및 무력증 위내 이물 의심소견 치료 후 재평가 필요 부신종괴는 모니터링 기타 비강종괴 비염 담낭점액종 잠재적 방광염 cds 등 밤사이 ffp 투약 및 수액처치하면서 배뇨 호흡 부종 양상 등 확인하여 필요시 요도카테터 장착 익일 오전 보호자 재상담 유선 하여 치료 계획 변경 오전 검사 전해질 c cbc 필요시 흉방 ,만성신부전,6, 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,비강 분비 및 비출혈,비강 분비 및 비출혈,1342,8
Yorkshire Terrier(요크셔 테리어),FS,2043,D_VIP,s 어제는 점액성설사 증상 보이다가 오늘 오전에는 혈변 증상 보이기 시작함 어제 저녁이랑 오늘 오전에는 사료 먹음. 구토 증상은 보이지 않음. 사료이외에는 고구마 소량 이외에는 주신게 없으심. day 에 보호자님이 음식 담겨있던 유리그릇을 깨트렸는데 치우고 남은 유리 조각을 먹었을 가능성 있을것 같다고 하심. 간헐적으로 뒷다리 저는 증상 보임 엉덩이 부분만질떄 예민하게 반응함 체온 no skin turgo delayed crt sec 상하복부 촉진시 복압상승소견 보임 spinal reflex 검사시 통증반응 보이지 않음 좌측 슬개골 내측탈구 기. 우측 슬개골 내측탈구 기 분변검사상 rbc만 관찰됨. 병원성세균 확인되지 않음 혈액검사상 특이소견 보이지 않음 복부방사선 검사시 s 척추의 spondylosis 및 골증식 확인되며 추체가 짧아져 있어 압박골절 또는 선천적 이상의 가능성도 있음 복부초음파 검사시 descending colon 원위부의 확장 및 저에코 액체 저류 관찰됨 enteritis bi mpl vertebral spondylosis tx 내복약 month 분 스멕타 timepo bid 락토벳 포 po bid month 동안 급성 대장염에 준한 치료 진행. 그동안 id캔 급여. 현재 양쪽 슬개골 내측탈구 있는 상태이고 아직 수술할 정도는 아니지만 탈구가 더 악화되거나 lamenss 증상이 심해질 경우에는 수술적 교정이 필요함 말씀드림 s spondylosis로 인해 ivdd 발생할경우 신경압박으로 인해 후지 lameness나 paresis 증상 보일 수 있으므로 이런 증상보일시에는 mri 검사나 내과적 치료 필요할 수 있음 말씀드림 ,2185,"1,2", 위염 / 위장염 / 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),819,4
Welsh Corgis(웰쉬 코기),MN              ,2046,G_부천이지,큐피트 의뢰 직장에 실이 달려 있어서 잘랐음 직장 옆으로 뭔가가 융기 되어 있어서 의뢰 흉부 복부방사선 검사 폐 전반적으로 기관지패턴 경미한 정도로 관찰. normal variation 또는 기관지염 의심. 위 유문부 위치에서 골밀도 물질 다량 확인되며 그 외 위내 내용물 차 있음. 십이지장 위치에서도 cm 길이의 선형태 골밀도 이물 음영 관찰. 방사선상 직장 항문 주위 특이소견 없음. 복부초음파 검사 위내 acoustic shadowing 동반되는 이물음영 확인되며 위벽 특이소견 없음. 십이지장 및 소장에서는 특이소견 없음. 간 비장 신장 부신 췌장 특이소견 없음. 상담 위내 이물 항문 부위 특이 소견 없음 위내 이물 문제 유발 가능성 있음 직장내 방사선 투과 물질일 경우 확인 안될수 있음 위내시경 직장 내시경 검사 권유 보호자분께 위험성 설명드렸고 내일 상태 봐서 내원하신다고 함 내복약 처방 ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,451,3
Mixed(혼합),FS,2101,D_VIP, refer. 의뢰병원관련 진료전 전화완료 진료후 전화완료 초진일 전화 안됨 원장님 요청사항 주호소 기력저하 빈혈 염증수치 상승 현증경과 month 전부터 점점 기력이 떨어지고 구토 설사증상 보임 그전까지는 활력 식욕은 양호했음. 원래 어렸을때부터 저체중이었던 아이 서울종합에서 검진상 빈혈심하고 알부민 저하등이 관찰되어 자궁축농증 의심되어 내원함 사육환경 indoor 신체검사 mental depression hr 회 rr 회 bp time hg bcs mmc crt 점막창백 탈수평가 탈수 혈액검사 알부민 저하 저혈당 서울종합 검사결과 pcv wbc 서울종합 검사결과 crp 이상 혈당 재검사 알부민 재검사 영상검사 방사선검사 복부 by hyuna findings 중하복부 양측의 관성 구조 관찰됨 serosal detail의 심한 저하 복부초음파 full scan by hyuna findings 양측 자궁각의 심한 확장 및 에코성 슬러지 좌측 time 우측 time 양측 부신 및 난소 관찰 불가 imaging dx ddx pyometra hemometra dx ddx severe pyometra hypoglycemia sepsis 가능성 severe anemia 심한 자궁축농증으로 인해 심한 염증과 출혈이 동반되어 차적인 빈혈과 알부민 저하가 동반된것으로 보임 수술시 저혈량성 shock의 위험성이 있어서 수혈이 필요하다고 판단되며 수혈하면서 수술진행할 예정 마취의 위험성 높으며 마취회복후에도 전신염증반응증후군으로 인해 사망할 가능성 높음 말씀드림 혈액형검사 혈액교차반응 음성 목표로 time농축적혈구 s 로 희석해서 투여 수혈모니터링중 특이사항 없어서 수혈하면서 수술진행 sx ohe op 안승엽 as 송지은 ant 김다혜 anesthesia premedication butorphanol time kg iv midazolam time kg iv cefazolin time kg iv induction propofol time kg iv maintenance isoflurane surgical procedure dosral recumbency 후 복부 midline incision 확장된 자궁 확인 후 ligasure를 이용해 양쪽 ovarian pedicle 소락 및 절단 broad ligament round ligament 절제 후 uterine cervix의 바로 proximal 부위에서 maxon 로 circumferential ligation 개 적용. 자궁 및 난소 적출 후 남은 자궁 stump에 노출된 점막은 povidon iodine으로 소독 routine한 방법으로 복벽 피하 피부 봉합. surgical findings 크게 확장된 자궁 외 특이 소견 없음. rx 식이 금식 tx 수액처치 수혈 끝나면 sfols 주사제 저혈당 관찰되어 포도당 timeiv cefotaxim time kg tid metronidazole time kg bid metoclopramide time kg bid famotidine time kg bid tramadol time kg bud 혈압 cbc 혈당 알부민 컨디션 체크 ,,"1,2,28", 자궁 축농증 , 생식기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),기력저하",구토(급성/만성),1539,5
Yorkshire Terrier(요크셔 테리어),MN              ,2087,G_부천이지,요 며칠 변양이 적음 변 눌때낑낑됨 정상변이긴하나 딱딱하긴 함 식욕도 비교적 떨어진것 같다고 하심 이전에 비해 원래 우유를 섞어 줬는데 우유 안주고 캔주고 나서부터 배변이 양 준것같다 하심. 방사선 상에서 결장 끝쪽에 변이 차있는것 확인 초음파검사 만성신부전 상태 장벽 및 전립선 특이소견 없음 혈액검사 bun crea 상승 현재 식욕 저하의 원인은 만성신부전에 의한것도 배제 못함 락툴로스 처방 드렸고 month 뒤 신장수치 재검 권유 상담 만성신부전에 의한 증상 충분히 유발할수 있음 설명드림 이파키틴 사료 교체 및 음수량 증량 설명드림 스펙트라 가루로 드림 이전에 받은 안연고도 같이 처방 원하심. ,,"21,4203", 만성 신장 질환 (신부전 포함) , 비뇨기과 질환 ,"식욕부진, 식욕저하,변비","식욕부진, 식욕저하",338,1
Poodles(푸들),MN,2071,C_잠실ON,cc 잦은 구토 어제 배변할때 혈액 보임 변은 정상 구토 내용물 주로 위액 평소에 불규칙한 식습관 가짐 혈액검사상 특이소견 없음 방사선 검사상 일부 밀도 상승부가 보임 향후 내시경 검사 초음파 검사 등 추천드림 일단 식생활 개선을 최우선으로 해주시라고 안내드림 ,,1, 구토 / 설사 / 혈변 (원인 미정) , 소화기 질환 ,구토(급성/만성),구토(급성/만성),146,0
