품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Schnauzers( 슈나우져),F               ,2116,H, cc 오른쪽 뒷다리 딛지 못함 검사 위해서 내원 history day 부터 갑자기 오른쪽 뒷다리를 딛지 못하고 아파서 그런지 잘 일어나지 않음 산책 시에만 배뇨를 하는 아이라 산책을 못시켜줘서 그런지 day 부터 배뇨 관찰되지 않음 구토 설사 는 없었음 기력이 감소함 다리가 아파서 잘 움직이지 않아서 그런지 밥을 잘 먹지 않아 어제는 소고기를 구워서 주었더니 잘 먹었음 유선 종양 부위가 더 부은 것 같음 수술 여부는 모르겠지만 그래도 검사는 해봐야 할 것 같아서 왔음 environment indoor 동거견 연령 슈나우저 food 사료 간식 등 vaccination deworming 어렸을 때만 접종 사상충 매달 구충 systemic gen mental alret skin nrf nervous nrf eent nrf res nrf cv heart base murmur gi nrf ns rt.poplitear ln enlargement cm t r panting p.e. mm pink crt sec bp time hg cuff rt.fl rt. hindlimb lameness bw kg 체중 감소 dehydration 혈액검사 elevated alp increased crp 방사선 흉부 흉부 복배상에서 우측 후엽 원형 크기 lxw mm 의 폐결절 의심 좌측 전엽 타원형의 폐결절 의심 크기 lxw mm 폐전이 의심 복부 하복부 복측 복벽 복측으로 불균질한 연부조직 밀도의 피하종괴. 유선 종괴 요추 번 복측으로 타원형의 연부조직 밀도의 종괴. 요추하 림프절 비대 흉추 번 요추 번 사이 척추체 endplate 불균질한 골증식 퇴행성 변화 무릎관절 무릎관절 전후측상에서 우측 대퇴골 medial epi condyle 국소적으로 미약한 골밀도 감소. bone cyst metastasis 복부초음파 요추하 림프절 비대 metastasis 유선종괴 저에코성이며 분엽화 되어 여러 종괴 관찰됨. 악상 피하 종괴 의심 양측 부신 비대 뇨 검사 비중검사 하루 정도 소변 참은 것으로 생각됨 스틱검사 mild proteinuria 응고계 검사 nrf 유선 종양 악성 가능성 높음 의 전이 가능성 폐 rt. hindlimb 심장 ar 전이 여부 평가를 위해 ct 촬영 필요함을 설명하였으나 보호자 남편 분이 더 이상의 처치나 검사는 원치 않음 호스피스 관리 원하고 있어 내복약만 일주일치 처방함 보호자 아내 분이 남편가 상의 더 해보고 추후 일정 정하기로 함 ct or 약만 처방 comments 수술 여부를 결정하기 위해서는 ct 촬영이 반드시 필요함을 언급하였으며 전이가 확인되었을 경우 수술보다는 호스피스 관리가 더 나을 것이라고 말씀드림 전이가 되지 않았을 경우에는 수술 및 항암처치 등이 필요함을 언급하였음 tx cephalexin time kg bid po famotidine time kg bid po piroxicam time kg sid po 저녁약 ,,, 유선 종양 / 유방 종괴 , 생식기 질환 ,,,1438,8
Shih Tzu(시추),FS              ,2275,F_센트럴,c.c 교통사고 승용차가 밟고 지나감 쇼크 저혈압 ray 골반골절 좌측 고관절 탈구 chemistry 혈소판 감소 백혈구 감소 ,,"0,77", 사고 (교통 사고 포함) ,전신성의 질환,"기타 증상,골절",기타 증상,71,5
Turkishangora(터키쉬 앙고라),FS              ,2091,H,혈뇨 배뇨장애 소변흘리고다님 어제 아침에 배뇨 장애 확인 주말에는 정상 배뇨 확인 어제 퇴근 후 혈뇨 지속적으로 배뇨자세 취하려고 소화기 증상 확인 동거묘 마리 잘 지냈는데 month 전 막내 입양 막내가 좀 귀찮게 하는 경향 소변 보고 있을 떄도 괴롭히 year 전 쯤 명절에 탁묘 하셨음 다른 고양이들과 방사 스트레스 많이 받았었음 year 에 한번 정도 특발성 간질 의심 증상 확인 최근에는 없었음 tonic clonic paddling salivation 살 반 정도 이후 발작 증상 확인 청진 상 특이사항 없음 치석 심하지 않음 mm pink crt 혈액 검사 cbc nrf 복부 방사선 특이사항 없음 복부 초음파 심한 방광염 및 sludge 확인 p 요도 폐색의 가능성은 낮은 것으로 평가 심한 방광염 오후 소변 검사 예정 소변 검사상 단백뇨 및 방광염 확인 struvite 결정 확인 세균 의심되는 병변 확인됨 세균 배양 검사 의뢰 혈뇨 및 배뇨 장애 지속적으로 확인 필요 특이사항 없을 경우 day 오후 퇴원 예정 ,,, 방광염 , 비뇨기과 질환 ,,,520,4
Yorkshire Terrier(요크셔 테리어),M               ,2091,E_24시아이, 어제 오후부터 소변에 피가 보였음. 혈괴 중성화 안했음. month 전에 구토해서 병원 간적 있고 주사 맞고 좋아졌음. 식욕 좋고 설사 없음. x ray 초음파 결석은 보이지 않음. 소변직접도말검사 슬러지 많음. 요스틱 ph높음 마취 후 방광플러싱 실시 수컷중성화 졸레틸 timeinj ce 결석이 관찰되지는 않지만 추후 방광결석이 생길 가능성이 높습니다. 후처치 회 수납완료 내복약 month 분 보호자분 사료 사신다고 하면 유리너리 o로 ,,8, 방광염 , 비뇨기과 질환 ,혈뇨,혈뇨,248,4
Bichon Frish(비숑 프리제),MN              ,2133,H,어제저녁부터 후지마비 내츄럴 코어 연어 사료 먹임. 바우와우를 사료에 섞여서 먹였음. 배뇨곤란으로 방광염이 심하게 발생하여 출혈이 있음. 방광염 치료 해야함. deep pain 좌우 모두 있음. ct. 부토판 앰플 미다졸람 time 프로포폴 time 진통수액 케타민 time 요추 ivdd 수술실시 url 파열된부위 수술을 함께 함. ,,, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,,,187,6
A.Cocker Spaniel(아메리카 코커),F,2126,C_잠실ON,새벽 두시에 시골길에서 발견해서 집으로 데려옴 사료를 먹지않아서 설탕물 먹임 기운없이 늘어져있어서 내원 혈뇨 방광염소견. 내강에 슬러지 확인. status epilepticus 내원후 경부터 발작 시작. 집에서부터 전조증상 있었음. time 이상 멈추지않고 지속. tx dz time kg im 회 이후 propofol cri cepha sc tramadol iv 수액 d vitb vitc taurin 보호자 상담 용 . mri는 보류해놓은 상태. 정확한 진단이 나지 않은 상황에서 위험성을 안고 치료하고 있음 고지. 경기도에서 발견하여 데리고 오셨으며 법적 절차 문제로 해당 시 군청에 유기견 신고를 해 놓고 치료할것을 권해드렸으나 보호자분 원치 않으셔서 책임하에 치료 해달라고 말씀하심. 정오부터 propofol cri로 들어가고 있으며 속도 time hr 로 조절중. 중간중간 포폴 스톱하여 보았으나 증상 개선되지 않아 유지 중. 금일 밤 time 경 다시한번 항경련제 끊어볼 예정. tx. mpss time kg tid. mannitol kg sid cepha enro. time 경 통화 시도 하였으나 보호자분 통화 안됨. ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,579,0
K.C(Korean Cat),MN,2133,D_VIP,s 배뇨는 가능하나 배변은 힘듬. 정상배변 어제 소량 식욕부진 time 부터 다리가 불편하기 시작하여 어제는 매우 심해짐. 다리를 쭉 펴고 보행. 항생제 진통제 처치에도 반응 없이 더 악화됨. 차 접종만. 다 잘먹는 아이. bt positional reflex 반응없음 반사감소 정상 preprioception fr fl rr rl anus reflex 애매함. deep pain 촉진시 매우 아파함 사지 냉감 없음. 오히려 열감 양안 통증 있음. iop odos felv fiv neg. fcov pos. cbc mild leukocytosis chem nrf elect mild hyperkalemia saa normal range 방사선 nrf 복부초음파 full scan by joohee findings 복막염 소견 확인되나 복수는 확인되지 않음 혈관반응이 없는 hypoechoic foci가 비장 내에 산재되어 있음 양측 신장 에코 상승 확인되며 우측 신장의 아주 소량의 perirenal fluid 확인됨 불규칙한 방광벽 확인되나 벽 두께는 양호함 우측 요추하 림프절이 중증도 비대 확인됨 time . 이외에 미약한 복강 내 림프절 비대 imaging dx ddx peritontitis fip dry type systemic infection lymphoma lymphadenopathy nephritis perirenal fluid cystitis ddx. 신경계질환 뇌 척추 fip mri 검사 진행 안내드렸으나 일단 보류하고 치료먼저 진행해보기로. 신경증상 진행속도가 워낙 빨라 내복약 복용하면서도 발작 등의 더 진행된 신경증상 발생 가능성 있음. 너무 좋지 않을 경우 퇴원 또는 안락사 진행도 상담드림. fip 신경계질환에 준한 치료 pds 진행. saa 신경계검사 ,,23, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",889,6
Maltese(말티즈),M,2181,B_W,변을 잘 못봐서 아버님께 혼났는데 채인것 같다고 하심 맞고 나서 time 정도 지나면서 계속 뒷다리에 힘이 없는 듯한 증상을 보임 체온 도 우후지 mono paresis proprioception 감소 lumbar lesion back pain 혈액검사 ck 증가 외에 특이소견없음 과거 ivdd 병력이 있던 환자로서 외상에 의한 ivdd 발생가능성이 높음 익일 mri 촬영 예정 mpss 고용량 요법 항산화제 fluid 진통 항생제 ,,4, 추간판 탈출증 ,근육 골격 질환 ,통증,통증,243,9
친칠라,MN,2095,C_잠실ON,cc month 전 부터 urinary incontinance. dribbling. 식욕저하. 활력저하. ,,9, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,배뇨실금,배뇨실금,59,1
Maltese(말티즈),MN,2126,B_W,hx month time 전신 발작 증상으로 춘천 현대 동물병원 입원 항경련제 항생제 스테로이드성 소염제 등 투여하며 입원 치료하다가 month time 퇴원 퇴원 후 집에서 빙글빙글 돌고 머리를 벽에 부딪치는 행동 보여 항경련제 증량 month time 전신 발작 증상 재발하여 다시 춘천 현대 동물병원 입원 이후 발작 증상은 없었으나 잠을 많이 자고 목적 없이 앞으로 걸어가는 행동 보임 오른쪽 눈 안구건조증 및 각막미란 관련 안약 투여 어제 보호자가 본원으로 진료 문의 한만길 원장님 전화 상담 후 오늘 본원으로 이동 본원으로 이동 전 소리지르고 흥분하여 춘천 현대 동물병원에서 diazepam acepromazine 투여 후 이동 hct month time month time month time month time plt month time mcl month time mcl month time mcl month time mcl wbc month time mcl month time mcl month time mcl month time mcl bun month time month time month time month time month time crea month time month time month time month time month time ip month time month time month time alt month time month time month time month time ast month time month time month time month time month time alp month time month time month time month time month time pe mentation stupor hr bpm rr time pm bt sbp time hg severe dental tartar gingival recession bloodwork cbc anemia hct thrombocytopenia mcl leukocytosis mcl rpi non regenerative chemistry increased alt ast alp amyl lipa ip and ck decreased alb and ca normal ionized ca electrolytes mild hypernatremia and hypokalemia increased na ratio blood gas ph pco hco etc. crp reference range coagulation profile dimer reference range fibrinogen reference range aptt reference range pt reference range x ray vhs increased radiopacity of the lung fields radiopaque calculi in the left ureter urinary bladder and urethra echocardiography mitral valve degeneration mitral regurgitation mr pgmax time hg tricuspid regurgitation tr pgmax time hg mv epss time lv fs increased lvidd time lvids time la ao ratio pv pgmax time hg a ratio abdominal ultrasonography hyperechoic lesions in the splenic parenchyma hyperechoic round mass in the hepatic parenchyma echogenic bile in the gall bladder lumen hyperechoic material with acoustic shadowing in the left ureter hydroureteronephrosis due to the left ureterolith hyperechoic materials in the urinary bladder lumen length of the kidneys left time right time diameter of the adrenal glands left time right time ophthalmic exam stt time min od time min os fluorescein stain test positive ou 보호자 상의 후 마취 위험성 있으나 진단 위해 내일 mri 및 ct 촬영하기로 함 tx fluid therapy with nacl dextrose kcl time eq ornipural taurine vitamin vitamin fr time kg hr phenobarbital time kg bid iv slowly cefazolin time kg tid iv slowly cimetidine time kg tid iv slowly sodium hyaluronate eye drops h ou serum eye drops h ou tobramycin eye drops h ou acetylcysteine eye drops h ou ,"2092, 2137","4,16", 경련 발작 (원인 미정) , 신경 질환 ,"통증,발작",통증,2526,0
