품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Maltese(말티즈),MN              ,2233,G_부천이지, 리셉션 신규 시니어 환자상태 내원목적 month 전에 다른 병원에서 마취불가로 사료랑 보조제 약 으로 녹이자고 안상수에서 다시 검사 후 본원으로 의뢰해 주심 . 음경골내 결석 개 방광결석 다수 증상발현 month 전부터 식욕상태 최근 잘 안먹음. 금일 시져캔 먹인 후 구토 했음 활력상태 배변배뇨 다뇨 산책횟수 환자 평소 성격 마이크로칩 유무 예방의학 예방접종 종 코 켄 광 인 심장사상충예방 과거병력 혈액검사 스켈링 수술 기왕력 현재관리상태 급여사료 종류 간식 보조제 복용중인 내복약 기타 보호자요구사항 어렸을 적에 방광염 살 쯤 올해 month 전 쯤 내복약만 먹고 호전됐음 혈뇨 점액뇨가 나왔음 month 전에 결석 발견 어제 그제 환납술 했는데 들어가지 않음 year 전에 수술 슬개골 방광결석 비장결절 tx feeding tube 이용하여 요도 내 결석 환납시킴 cefazolin time kg iv famotidine time kg iv enrofloxacin time kg sc tramadol time kg iv fluid 타우린 타치온 펜톡시 e 내일 방광결석 비장제거 스켈링 진행예정 수술 이후 경과를 보아야 함 염증수치 감소하는지 식욕저하 등의 증상이 개선되는지 여부 개선되지 않고 경과가 나빠질 수도 있음 이후 과민성 방광 등이 생기는 경우도 있음 ,2092,"8,76", 비장의 이상 ,혈액 및 조혈기의 질환 ,"혈뇨,방광결석",혈뇨,656,12
Labrador Retriever(래브라도 리트리버),MN,2014,D_VIP, month 전부터 구토증상보임 뒷날 병원 내원하셔서 항구토처치 및 내복약 처방받으심 이틀 전 설사 형태있는 묽은변 회 어제 저녁부터 식욕없음 평소에는 건사료 위주로 먹음 활력은 양호 기본 접종되어있음 심장사상충 예방안하신지 year 정도 되심 구토 설사 심장사상충감염 식욕 떨어짐 변도 연변증상임 구토는 심하지는 않음 혈액검사상 저단백혈증 tp alb 저하 심장사상충,,"1,2", 심장사상충(Heartworm disease), 순환기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),206,23
Pomeranian(포메라이안),F,2021,C_잠실ON, 기관협착 서혜부 허니아 비환납성 통증 및 추가적인 합병증 가능. 초음파 검사 및 lactate 검사 예정 안구건조증 행동변화 뇌병변이 발생했을 가능성 배제할 수 없음 양측 신장 결석 우측 간엽 주변 에코 증가 및 장 변위 사항있음 초음파 검사상 우측 부신 가능성 있음. cc 불안해함 평소에 기관지 협착 있음 year 전에 캐나다에서 들어오심 최근에는 잠만 많이 잤었음 month ,,5, 기관 허탈 , 호흡기 질환 ,기침,기침,214,8
Chihuahua(치와와),MN              ,2259,F_센트럴,hx time 쯤 전 화장품 닥터자르트 시카페어 크림 반정도 섭취 성분들은 소화기 차트에 내원전 과산화수소 time정도 먹이심 별다른 증상은 없음 pe bar 활성탄 투약 bw cre tg 상승 month 정도 입원하면서 치료진행 ,X,25, 다른 중독 질환 ,전신성의 질환,이물,이물,129,10
Yorkshire Terrier(요크셔 테리어),MN              ,2185,D_VIP, 전신상태 nrf mild 탈수 bcs alert no murmur no crackle p 안과 os 홍채변성 및 렌즈와 유착 plr 시력 망막 관찰 어려움 stt 안구위축 안압os 이전 포도막염에 속발되어 홍채의 변성 및 각막궤양 동반됬을 가능성 존재 우측 핵경화증 stt 안압od 양측 각막형광염색 근골격계 신체검사상 좌측 상완 견갑 관절통 초음파 방광벽 비후 심하지 않음 좌측 상완 견갑부위 tenosynovitis 예상 소염제 처방 필요할 것으로 예상 슬개골탈구 비뇨기 소변검사 채취시 혈액혼입 결석성분 관찰 어려움 적혈구만 다량 관찰 rad 작은 좌측 신장 결석 방광결석 존재 초음파 방광벽 비후 심하지 않으나 슬러지형 결석 신장에 결석 소량 존재 신우부분에 존재하진 않음 이전 결석 ca oxalate 관련하여 지속적 관리 필요 초음파 소견 다 적혀있어서 따로 안적을게요 현아 치과치료 money 스켈링 마취 치과방사선 진행 예정 ,2092,23, 슬개골 (아) 탈구 ,근육 골격 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",471,22
Pomeranian(포메라이안),MN,2193,D_VIP, money 선결제 송이 집에서 컨디션 이상 없었음. gc b.a.r normal skin turgor ms 우측 elbow joint 굴신 운동시 통증 호소 rt. forelimb lameness laboratory exam cbc n.r.f chem ea n.r.f 방사선검사 comment 흉부 양호 ct검사 phyeal fracture of olecranon tuber rt. comment 우측 olecranon tuber의 성장판 위치의 골절 골편의 앞쪽 외측으로의 변위 확인됨 anconeal process coronoid process 정상 triceps brachii muscle 의 일부 갈래 long head susp. 가 골편과 연결성을 보임 근골격계초음파 comment 변위된 olecranon tuber 골편에 triceps brachii muscle의 ligament long head 가 부착되어 있는 것이 확인되었으며 수술적 교정 추천됨 radiologist 이현아 dvm ms vip동물의료센터 영상의학과 과장 direct tel 내선 mail vip radiology vipah.co.kr dx rt. olecranon physeal fx sh type 우측 olecranon의 성장판 골절로 인한 파행증. 수술적 교정 필요하지만 이미 수상한지 여일이 지난 시점을 감안하여 prp 등 골유합 촉진을 위한 추가적인 치료가 요구됨. 보호자 사정으로 인해 금일 하루 입원 관리 후 내일 오후 골절 수복 및 고정 수술 진행 예정 tension band wiring prp 입원 수액 s 유지속도 입원 주사처치 tx famotidine time kg iv bid rx firocoxib time kg po sid 저녁 투약 ce 금일 ct 검사 결과 엑스레이에서 보였던 골절 부위 이외 다른 부분의 이상은 관찰되지 않았습니다. 다행히 생각만큼 복잡한 상황은 아니지만 골절 수복을 위한 뼈가 매우 작아 충분한 고정력을 유지하기 위한 여러 노력들이 필요할 것으로 보입니다. 자세한 수술 상담은 내일 내원시 드리도록 하겠습니다. ,,4, 골절 (앞발) ,근육 골격 질환 ,통증,통증,1035,5
Bichon Frish(비숑 프리제),F               ,2085,G_부천이지,s 아침까지는 괜찮았음 time 부터 흰색구토 회 정도 기력이 없음 수제간식 year 반 전쯤 사람약 먹은 적은 있음 영상검사 상 복강 내 fluid 혈액성 혈액검사 상 cpk 간수치 상승 crp 상승 혈복 원발장기 찾을 수 없음 원인불명 tx cefazolin time kg tid iv enro time kg sc tramadol time kg tid iv vit time kg sc famotidine time kg bid iv 혈구 모니터링 e 빈혈 수치 떨어지는 지 여부 확인하여 이후 수혈하며 응급수술 필요할 수 있음 ,2231,"1,12", 상기에 해당하지 않는 간 / 담도계 질환 , 간 · 담도계 및 췌장 질환,"구토(급성/만성),복수",구토(급성/만성),296,14
K.C(Korean Cat),FS              ,2178,G_부천이지,식욕부진 구토하려고함 다른병원에서 time 전에 검진받았는데 입속은 깨끗했다고 함 상담만 받고 오셨다고함 month 전에 길냥이 입양 month 간 식욕 저하 구토 또는 헛구역질 하얀 거품 구토 이전에 사료 캔 먹임 최근 민감 해짐 pe 잇몸 염증 구취 검사 혈액 검사 방사선 검사 초음파 검사 처치 수액 처치 암피실린 time kg 내복약 처방 독시사이클린 time kg 로도질정 time kg 트라마돌 time kg 파모티딘 time kg bid ,,"1,21", 구내염 / 설염 ,치아 및 구강 질환 ,"구토(급성/만성),식욕부진, 식욕저하",구토(급성/만성),252,6
K.C(Korean Cat),F,2267,C_잠실ON,cc 구토 설사 오늘 오후 time 경 첫 구토. 그 후로 time 텀으로 구토. 구토에 동거견 개사료도 나옴. 초반에는 붉으스름한 빛 구토도 나왔음. 로얄캐닌 사료. 참치캔 평소에 먹이심 묽은 설사도 같이. 예방접종은 차까지 완료. 사상충은 같이 진행. 후라이드 치킨을 먹었을수도 있는데 정확히는 모르겠다고. 식욕은 완전 좋은 편이었으나. 구토 후에는 식욕 떨어짐. 물은 잘 먹는데 물 먹고 다시 구토. . 범백 키트 검사 음성 . 입원처치 후에 증상 호전 안되면 초음파 보기로. 현재플랜에는 초음파 안잡혀있지만 초음파 비용까지는 고지해드렸음. 퇴원은 구토 설사 어느정도 멈추면 퇴원시키기로. ,,"1,2", 고양이 복막염 · FIP ,전신성의 질환,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),333,4
Maltese(말티즈),F,2257,B_W, 사람 우울증 약봉투가 뜯어져 있고 마이신을 조금 핥은듯함 약을 통째로 삼켰는지는 확실치 않음 알약들의 종류와 갯수도 확실치 않음 결국 먹었는지 안먹었는지 먹었다면 언제 먹었는지 확실한 게 아무것도 없음 time 이내 먹은건 확실하다 함 구토유발 비닐같은 인형솜 소화된 사료 외 알약으로 추정되는 것은 관찰되지 않음 cbc 특이사항 없음 전해질 cl 로 살짝 낮은 것 외 특이사항 없음 bg,,, 인체 약물에 의한 중독 ,전신성의 질환,,,218,25
