품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Mixed(혼합),MN,2078,D_VIP,s gbm 제거 오전 time 내복약 trilostane carvedilol 반 티스푼 로우펫 pt aptt act bp 우측 뒷다리 도플러 술전 sildenafil time kg po plasma so 유지 배 time pre anathesia tx cefa famo atropin fentanyl induction tx etomidate maintain tx isoflorane post tx tlk abs famo dr.조서현 subjective 담낭 뮤코실에 의해 외과로 transfered. assessment dx cushing dz gb mucocele od superficial corneal ulcer plan sx cholecystectomy timeeyelid tarsorrhapy. surgical findings distended gb identified. choledocal pathway normograde flushing by s od third eyelid tarsorrhapy performed. 수술 종료후 내과로 인계. ,cushing,, 담관염 / 담관 간염 , 간 · 담도계 및 췌장 질환,,,535,10
Russian Blue Cat(러시안 블루 고양이),FS              ,2004,G_부천이지, 오전관리사항 food 식사종류 양 식욕상태 급식방법 urine feces etc 보호자분 요청으로 병리학적 검사 진행 오후관리사항 food 식사종류 양 시그니처 반려묘 a캔 식욕상태 안에 넣어주면 스스로 조금씩 먹음 급식방법 자율 urine feces etc 치료 및 상담내용 tx furosemide time kg iv dobutamine time kg cri enoxaparin time kg sc ampicillin time kg iv famotidine time kg iv fluid d 타우린 타치온 펜톡시 kcl 산소공급 e 어제에 비해 전반적인 호흡수는 감소함 ,"2082, 2087","28,5,1401,35", 심근증 , 순환기 질환 ,"기력저하,기침,빈호흡,개구호흡",기력저하,322,26
K.C(Korean Cat),MN              ,2075,D_VIP, money 선결제하심 정원 cc 기력없음 헛구역질을 일주일동안 지속함 사료도 거의 안먹음 물은 먹긴 먹음 그릇에 이상정도 먹음 체중도 많이 빠짐 강아지가 집에 한번 있었음 그때 강아지 사료를 먹음 일반 캔사료는 먹었으나 지금은 무엇을 줘도 안먹음 창문이 열렸었음 그때 밖에 나갔다 왔었음 반나절정도 time 전쯤부터 구토 none 기침 콧물 none 예민한 편 스트레스에 취약 배뇨 양호 변 조그맣고 토끼똥처럼 쌌음 접종 all done alert p dehydration crt sec jaundice 눈 귀 배 전신적으로 나타남 cbc rbc hgb hct low chem alp alt high rad nrf 복부초음파 by hyuna findings 간 크기 증가 및 에코 상승 신장 피질의 고에코성 wedge shape의 경색 관찰됨 imaging dx ddx hepatic lipidosis renal infartion p hepatic lipidosis 식이 급여가 중요 식이급여 d 캔 강급 자발식이 없을시 비강튜브로 강급진행 할 예정 식이 d 캔 complivit 아이 상태상 충분히 잘못될수 도 있는 상태 인지 입원 기간 month 진행하며 탈수교정 및 임상증상 개선 및 자발식이 개선시 퇴원 진행예정 ,,, 간 리삐도시스 / 지방간 , 간 · 담도계 및 췌장 질환,,,628,0
Shih Tzu(시추),MN              ,2061,G_부천이지, day 점심때부터 관장 약 먹여주셨고 어느정도 배변 함 어제부터 금식 약 먹이실때만 간식 급여 술전 보호자 상담내용 수술명 항문낭 절제술 eyelid wedge resection skin tumor removal 술전검사 결과 특이사항 chemistry nrf cbc nrf ray nrf sono nrf 수술전 처치 항생제 세파 진통제 트라마돌 fluid ns 마취방법 호흡마취 isoflurane 수술접근과 방법 오후관리사항 food 식사종류 양 당일 수술로 금식 식욕상태 급식방법 urine feces etc 치료 및 상담내용 tx e ,,"24,4", 항문 낭 (동맥) 염 / 항문 낭 (동맥) 파열 , 소화기 질환 ,"삼출물, 분비물, 농루,통증","삼출물, 분비물, 농루",304,37
Schnauzers( 슈나우져),FS              ,2088,F_센트럴, month 전부터 매일 구토함 식욕은 양호하고 변에 점액이 조금 묻어나옴 heart murmur 방사선검사 심비대 좌측 신장결석 초음파 좌우 신장 echo 상승 신장 변연부 irregular 좌신 결석 간 담관내 echogenic material time 저에코성 결절 우측 난소 부위 저에코성의 다발성 cyst 복부 임파절 종대 혈액검사 간수치 상승 백혈구 감소증 요검사 등장뇨 요비중감소 요단백 upc 의뢰 cpli 음성 upc 검사 나오면 검진 소견서 작성해드리기로함 ,x,"1,2,75", 신장 결석 , 비뇨기과 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),심잡음",구토(급성/만성),266,25
Golden Retriever(골든 리트리버),F               ,2077,G_부천이지, month time 부터 움직임 저하 수액 처치후 다음날 퇴원 퇴원후 집에서 벽에 머리를 박고 있음 검사시 암모니아 수치 상승 부평 동물병원에서 입원 month 식욕 있었다고 함 이전에는 혈뇨 증상으로 진료 받음 양배추 먹고 난후 혈뇨 증상 없어짐 작년에 틱증상 보임 머리 이후엔 증상 없었음 검사 방사선 검사 초음파 검사 혈액 검사 부평 종합 동물병원에서 pss 의심되어 내원 ct 촬영 권유 했다고 함 ct 촬영 수액 처치 마취 졸레틸 cc 촬영부위 복부 splenic vein으로부터 shuent vessel 나와 우측 신장 cranial pole 수준에서 후대정맥으로 유입. shunt vessel 직경은 splenic vein cm직경 에서부터 나와 cm 직경으로 이어지다가 후대정맥으로 유입되기 전 time 로 급격히 줄어듦. 간으로 들어가는 정상적인 문맥 직경은 time 로 대동맥 cm 과 비교시 많이 위축되어있음. 양측 신장 수질내 점상 형태 결석 확인. 방광 결석 없음. 우측 신장 초음파에서 확인되었던 cyst는 조영증강되어 단순 cyst 아님. cm 결절로 이후 크기 변화 체크 필요. ,,"28,40", 문맥 션트門脈体순환 샨트 PSS , 간 · 담도계 및 췌장 질환,"기력저하,신경증상(이상행동)",기력저하,565,13
Mixed(혼합),FS,2186,B_W,s year 전쯤 슬개골 수술을 진행함 금일 혈액 검사를 진행하고 내일 수술을 진행할 예정 ,,4, 십자 인대 손상 · 파열 (전 / 후) ,근육 골격 질환 ,통증,통증,51,27
Maltese(말티즈),MN              ,2232,G_부천이지,다른병원에서 혈소판감소증 진단받음 month time 미용 국소적으로 점막 출혈 month time 피하 출혈이 심해져서 병원에 내원 약을 받아 오셨다고 함 imt 진단 검사 혈액 검사 도말 검사 응고계 검사 초음파 검사 방사선 검사 상담 primary imt로 가진단 입원 치료 권유 집에서 지켜보기로 함 당분간 매일 지역 병원에서 혈액 검사 권유 내복약 처방 독시사이클린 time kg 프레드니솔론 time kg mmf time kg 파모티딘 time kg bid 젠토닐 ,,79, 혈소판 감소증 (면역 내정 간섭 성) IMTP,혈액 및 조혈기의 질환 ,"점상출혈, 자반, 반상출혈, 피하출혈","점상출혈, 자반, 반상출혈, 피하출혈",266,38
Bichon Frish(비숑 프리제),MN,2194,C_잠실ON,cc 후지파행. month 전 애견학교 입학 남양주 면회를 갔다가 time 전쯤 허리높이에서 떨어뜨림 애견학교에 같이 있는 병원 다른 병원 두군데 내원하였으나 골절 칼슘부족 등 상반된 다른 진단을 받았으며 본원 내원. 우측 후지 tca 확인되었으며 수술하기로 함 향후 부작용으로 성장에 일부 영향을 받을 수 있으며 슬개골 탈구증 발생 가능성 말씀드림 십자인대 손상등 가능성에 대해서는 수술시 확인하기로 함 ,,, 골절 (뒷다리) ,근육 골격 질환 ,,,227,5
Persian Cat(페르시안 고양이),FS              ,2180,D_VIP,s 오늘 아침에 금식하고 오심. 어제 구토나 설사 증상 없음. 청진상 no murmur 혈액검사상 pcv 탈수 . crt 양쪽 상악 어금니 moderate tartar 치주염 기. 혈액검사상 year 전에 비해 crt 수치 상승하고 탈수소견보여 초기신부전 진단위해 sdma 검사진행. 내일 퇴원은 time 에 송지은선생님이 진행해주실예정. 퇴원시 피부 소독약만 챙겨주세요. 하루 번 병변부위 소독. 다음주 day 에 주치의 앞으로 봉합사제거 예약 잡아주세요. ,,, 상기에 해당하지 않는 구강 내 질환 ,치아 및 구강 질환 ,,,257,22
