품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Maltese(말티즈),MN              ,2233,G_부천이지, 리셉션 신규 시니어 환자상태 내원목적 month 전에 다른 병원에서 마취불가로 사료랑 보조제 약 으로 녹이자고 안상수에서 다시 검사 후 본원으로 의뢰해 주심 . 음경골내 결석 개 방광결석 다수 증상발현 month 전부터 식욕상태 최근 잘 안먹음. 금일 시져캔 먹인 후 구토 했음 활력상태 배변배뇨 다뇨 산책횟수 환자 평소 성격 마이크로칩 유무 예방의학 예방접종 종 코 켄 광 인 심장사상충예방 과거병력 혈액검사 스켈링 수술 기왕력 현재관리상태 급여사료 종류 간식 보조제 복용중인 내복약 기타 보호자요구사항 어렸을 적에 방광염 살 쯤 올해 month 전 쯤 내복약만 먹고 호전됐음 혈뇨 점액뇨가 나왔음 month 전에 결석 발견 어제 그제 환납술 했는데 들어가지 않음 year 전에 수술 슬개골 방광결석 비장결절 tx feeding tube 이용하여 요도 내 결석 환납시킴 cefazolin time kg iv famotidine time kg iv enrofloxacin time kg sc tramadol time kg iv fluid 타우린 타치온 펜톡시 e 내일 방광결석 비장제거 스켈링 진행예정 수술 이후 경과를 보아야 함 염증수치 감소하는지 식욕저하 등의 증상이 개선되는지 여부 개선되지 않고 경과가 나빠질 수도 있음 이후 과민성 방광 등이 생기는 경우도 있음 ,2092,"8,76", 비장의 이상 ,혈액 및 조혈기의 질환 ,"혈뇨,방광결석",혈뇨,656,11
Welsh Corgis(웰쉬 코기),MN              ,2046,G_부천이지,큐피트 의뢰 직장에 실이 달려 있어서 잘랐음 직장 옆으로 뭔가가 융기 되어 있어서 의뢰 흉부 복부방사선 검사 폐 전반적으로 기관지패턴 경미한 정도로 관찰. normal variation 또는 기관지염 의심. 위 유문부 위치에서 골밀도 물질 다량 확인되며 그 외 위내 내용물 차 있음. 십이지장 위치에서도 cm 길이의 선형태 골밀도 이물 음영 관찰. 방사선상 직장 항문 주위 특이소견 없음. 복부초음파 검사 위내 acoustic shadowing 동반되는 이물음영 확인되며 위벽 특이소견 없음. 십이지장 및 소장에서는 특이소견 없음. 간 비장 신장 부신 췌장 특이소견 없음. 상담 위내 이물 항문 부위 특이 소견 없음 위내 이물 문제 유발 가능성 있음 직장내 방사선 투과 물질일 경우 확인 안될수 있음 위내시경 직장 내시경 검사 권유 보호자분께 위험성 설명드렸고 내일 상태 봐서 내원하신다고 함 내복약 처방 ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,451,8
Russian Blue Cat(러시안 블루 고양이),FS              ,2004,G_부천이지, 오전관리사항 food 식사종류 양 식욕상태 급식방법 urine feces etc 보호자분 요청으로 병리학적 검사 진행 오후관리사항 food 식사종류 양 시그니처 반려묘 a캔 식욕상태 안에 넣어주면 스스로 조금씩 먹음 급식방법 자율 urine feces etc 치료 및 상담내용 tx furosemide time kg iv dobutamine time kg cri enoxaparin time kg sc ampicillin time kg iv famotidine time kg iv fluid d 타우린 타치온 펜톡시 kcl 산소공급 e 어제에 비해 전반적인 호흡수는 감소함 ,"2082, 2087","28,5,1401,35", 심근증 , 순환기 질환 ,"기력저하,기침,빈호흡,개구호흡",기력저하,322,0
Pomeranian(포메라이안),MN              ,디스크,E_24시아이, 일주일전에 미용함 어제부터 걸음걸이가 느려지고 구석가서 숨고 간식에 대한 반응 없음 어제 밤부터는 위와 같은 증상이 나타남 마리 키움 같은날 마리 미용함 다른강아지들 다 밥 잘먹고 잘놀음 식욕 활기 백신 사상충 rad 배변정체 pe 초고도 비만 고유지각반사 느림 뒷다리 고양이 등자세. 코골이 소리 심함 ivdd grade ce 체중감량 강조. 과체중으로 신경계압박등 동통호소 재발가능성 큼 ivdd grade 심해질수 있어요 month month 까지 입원하면서 경과보기로 퇴원시 내복약 별도 고지. . ,2133,28,,,기력저하,기력저하,284,0
Shih Tzu(시추),FS              ,2275,F_센트럴,c.c 교통사고 승용차가 밟고 지나감 쇼크 저혈압 ray 골반골절 좌측 고관절 탈구 chemistry 혈소판 감소 백혈구 감소 ,,"0,77", 사고 (교통 사고 포함) ,전신성의 질환,"기타 증상,골절",기타 증상,71,1
Chihuahua(치와와),F,2082,A_라라,s month 전부터 기력 저하 몸을 떨고 움직일때 파행이나 이상은 없으나 이동거리가 적음 식이 변화는 없으며 먹는건 평소만큼 먹음 구토 없으며 배변 배뇨 양호 qar bt rr 복부 촉진시 긴장감 증가 cpl 양성 초음파 위 내 가스 소장 운동성 저하 장점막비대 췌장염 수액처치 경과 확인 퇴원 최 식욕 활력 양호하여 관찰퇴원 증상 발생시 다시 입원 필요 말씀드림 다음주 췌장수치 재검 예정 ,,28,,,기력저하,기력저하,220,0
Shih Tzu(시추),MN              ,2046,F_센트럴,식도이물 소고기 목뼈 간식 lc refer 혈액검사 crp 상승 mild ray 식도이물 tx 내시경으로 위내로 밀어넣음 식도 염증 확인 ,x,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,77,8
Chihuahua(치와와),MN              ,2259,F_센트럴,hx time 쯤 전 화장품 닥터자르트 시카페어 크림 반정도 섭취 성분들은 소화기 차트에 내원전 과산화수소 time정도 먹이심 별다른 증상은 없음 pe bar 활성탄 투약 bw cre tg 상승 month 정도 입원하면서 치료진행 ,X,25, 다른 중독 질환 ,전신성의 질환,이물,이물,129,8
British Shorthair Cat(브리티쉬 숏헤어 고양이),MN              ,2046,G_부천이지,구토 식욕부진등의 소화기 증상 없음 방사선상 위내 고음영의 이물 저류상태 재확인시 비슷한 위치 이물 확인 내시경 외과적인 방법으로 이물 제거 요망 e 내시경 진행후 내시경으로 빼지 못할 상황일 경우 위절개 진행 내시경 동의서 작성 완료 추가시술 이물제거 수술 동의 비용안내 완료 내시경만으로 이물 제거시 점막손상 여부에따라 당일퇴원 혹은 입원 필요할 수 있음 수술 진행되면 장기 입원 가능성 안내 주치의 황원장님 출근 가능시간 고려해서 진행 진행시 연락 드리기로 수술명 내시경 위절개 위내 이물제거. 술전검사 결과 특이사항 chemistry cbc electrolyte ray sono b.p 수술전 처치 항생제 세파 진통제 트라마돌 fluid ns 마취종류 호흡마취 isoflurane 기타 위점막 궤양부 확인. 내시경 통한 이물제거 시도했으나 털이 뭉쳐있는 형태의 이물 grip 실패. 위절개술 실시 하여 이물제거 분홍 고무줄 머리끈 형태의 선형 이물 주변으로 털들이 단단하게 뭉쳐진 형태. 항생 진통제 처치. cefotaxime time kg tid metronidazole time kg bid famotidine time kg bid tramadol time kg tid hr 금식. 일주간 입원처치. 식이 구토 배변 확인. ,,25, 소화관 이물 / 섭취 , 소화기 질환 ,이물,이물,635,8
Yorkshire Terrier(요크셔 테리어),M               ,2091,E_24시아이, 어제 오후부터 소변에 피가 보였음. 혈괴 중성화 안했음. month 전에 구토해서 병원 간적 있고 주사 맞고 좋아졌음. 식욕 좋고 설사 없음. x ray 초음파 결석은 보이지 않음. 소변직접도말검사 슬러지 많음. 요스틱 ph높음 마취 후 방광플러싱 실시 수컷중성화 졸레틸 timeinj ce 결석이 관찰되지는 않지만 추후 방광결석이 생길 가능성이 높습니다. 후처치 회 수납완료 내복약 month 분 보호자분 사료 사신다고 하면 유리너리 o로 ,,8, 방광염 , 비뇨기과 질환 ,혈뇨,혈뇨,248,11
