품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,label_id
Jindo Dog(진도견),M               ,normal,F_센트럴,hx 어제 저녁 time 경 멧돼지에게 공격당하여 왼쪽 뒷발 골절 평상시 건강상태 양호 사상충 예방 잘 해주심 심한 통증 pe bar 왼발 지간부쪽 골절 사진참고 bw crp 상승 등 hw kit negative 내일 amputation 진행 month 정도 입원하여 치료진행 ,X,77,,,골절,골절,155,2
Pekingese(페키니즈),FS,2001,D_VIP, money 선결제 송이 통화 이후 턱 부위의 부종 및 후지 부종 등 보임 건대 재내원하여 입원 처치 및 대사성 산증 등 교정 pe 내원 당시 장액성 양측성 비루 양측 sm ln 종대 빈호흡 경미한 노력성 giv vi holosystolic murmur in lt apex to rt 양측 후지 부종 및 좌측 전지 부종 복압 항진되어 있으나 파동감은 없음 혈액도말 neutrophil toxic basophilic formy 복부초음파 full scan gi tract by hyuna findings 담낭 벽의 점액 축적 초기 점액종으로 판단됨 총담관 양호 양측 신장 피질 에코 상승 우측 신장의 크기 저하 lk ao ratio rk ao ratio 양측 신장 신우 위치의 결석 및 좌측 신우 확장 time 우측 부신 종대 time 후대정맥 침습 관찰되지 않음 췌장의 전반적인 비후 좌측엽 최대 time 및 에코 저하 위 확장 및 액체 저류 shadowing 관찰되는 선형 물체 관찰됨 간식 음영의 가능성 있으므로 보호자와의 면담시 확인 필요합니다. imaging dx ddx gb mucocele early chronic kidney disease urolithiasis hyperadrenocorticism acute pancreatitis gastritis gastric foreign body 심장초음파 kg by hyuna findings mr severe mv remodeling severe tr time tv remodeling severe pr time 이완기능 저하 stage a ratio edvi ref. 수축기능 양호 esvi ref. la 압력 양호 peak time la ao ratio lvd ao ratio ddx degenerative bivalvular disease pulmonary arterial hypertension problem list assessment 참고 만성경과의 ckd 상태외에 과거 건대 검사시보다 전반적인 상태 크게 악화 ckd 현재 초기 핍뇨기로 진입할 우려 있어 배뇨확인 중요 췌장염 심증도로 상황에 따라 심한 복막염 및 패혈증 진행 가능성 있어 초기 적극적 치료 필요 심장 중증도 이상의 mmvd tvi pah 확인되며 후지 부종의 추가적인 원인으로 생각됨 갑기저 가능성 무척 높아 병행 치료 중 전반적인 위장관 염 및 무력증 위내 이물 의심소견 치료 후 재평가 필요 부신종괴는 모니터링 기타 비강종괴 비염 담낭점액종 잠재적 방광염 cds 등 밤사이 ffp 투약 및 수액처치하면서 배뇨 호흡 부종 양상 등 확인하여 필요시 요도카테터 장착 익일 오전 보호자 재상담 유선 하여 치료 계획 변경 오전 검사 전해질 c cbc 필요시 흉방 ,만성신부전,6, 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,비강 분비 및 비출혈,비강 분비 및 비출혈,1342,9
Poodles(푸들),FS,2082,D_VIP, time 전에 외출후 보호자님이 피 섞인 구토물 발견하심 갈색성 사료소화추정 및 혈액 양상 오전에 연어 말린거 먹임 혈토 후 활력 저하 및 식욕 저하 보임 우유는 마시는 정도 당시 이물 이나 약물등을 먹은 것 처럼 보이지 않음 평소 이물은 잘 주어먹음 가끔 쓰레기통도 뒤짐 두달전까지는 빈발적인 공복성 구토를 함 두세달전에 사료를 변경 이후로 구토 호전됨 가끔 컥컥거리는 증상을 보임 보호자님 인사시 흥분할때 보이는 양상 정상 배변 배뇨 봄 다소 떠는 양상 보임 일주일전에 사료 변화 당시 gi 증상 없음 피하출혈반점 pe bar normal skt pink mm crt sec 구강내 출혈 없음 no abdominal pain 도 혈액도말 nrf 분변도말 nrf cpl 방사선 nrf hematemesis pancreatitis gastroenteritis 혈토를 주증으로 내원한 환자로 약 두달전까지 만성적인 공복성 구토를 보였던 이력있음 금일 검사상 cpl외의 기타 혈액검사 수치는 정상으로 확인됨 이물 섭취는 정황상 많이 의심되지는 않지만 완전 배제는 어려운 상황 야간 응급내원으로 복부초음파 진행하지 못함 혈토에 대한 원인으로 췌장염 원발 만성적인 구토에 대한 위장염 및 위궤양 발생과 이로인한 이차적인 췌장염 병발 이물에 의한 가능성 등으로 판단됨 입원 처치하여 급성췌장염 및 위장염 에 대한 처치 필요 안내드렸지만 보호자님 비용 부담과 내일 오전 내원가능하셔서 금일 항구토제 및 위장염에 대한 대증처치후 내일 영상검사등 추가 검사 진행 할 예정 tx cerenia cc kg sc sid sucral cc po rx metro kg sid meto kg sid famo kg sid tra kg sid amocra kg sid ,위장염,"101,28,21", 췌장염 , 간 · 담도계 및 췌장 질환,"혈토,기력저하,식욕부진, 식욕저하",혈토,863,20
Shih Tzu(시추),FS              ,2001,E_24시아이,부토파놀 amp hw kit mf ecg 호흡성부정맥 bg 패혈증 bp us 쿠싱 자궁축농증 난소낭종 좌측신장 쪼그라들었고 우측신장의 보상적반응으로 살고 있음 echo 폐성고혈압 tr pr 환자상태 때문에 다음번에 정확히 측정할것. 당장 중요한문제 자궁축농증 패혈증 underlying disease 쿠싱 폐성고혈압 보호자가 한솔이랑 본원에 중성화한암컷이라고 해서 자궁축농증 배제했다고 함. 쿠싱에 대한부분은 보호자도 인지 한솔원장님도 인지. 술전 보호자한테 자궁축농증에 대한 수술은 한솔ah 본원 어디서도 하셔도 된다고 말씀드리라고 초이스 원장님 다만 패혈증 상태로 본원이 더 적합할듯 . 한솔원장님이 자궁축농증 수술비 세게받고 본원에서 수술하랍니다. ,2001/2245/2087,"75,0", 판막증 (의심 포함한 심장 잡음 + 심부전 증후 자), 순환기 질환 ,"심잡음,기타 증상",심잡음,366,14
친칠라,MN,2095,C_잠실ON,cc month 전 부터 urinary incontinance. dribbling. 식욕저하. 활력저하. ,,9, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,배뇨실금,배뇨실금,59,7
Shih Tzu(시추),FS              ,2133,F_센트럴, 사경 안구진탕 아침엔 별 이상없었는데 밤에 귀가하여 보니 증상발현 작년에 중성화 양측 외이도 만성염증 vestibule synd. 발생 원인 확인 위해 mri 촬영 권장 익일 오후 time 경 이안 mri 촬영 보호자 동반 예약 보호자분 mri 촬영 취소 증상이 완전히 해소되지 않을 수 있음을 고지 증상 호전 시까지 최소 month 소요 각막궤양 및 기저질환 발현의 가능성 고지 말초성으로 준하여 치료 시행키로 ,,"40,0", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"신경증상(이상행동),기타 증상",신경증상(이상행동),232,12
Shih Tzu(시추),FS,2245,C_잠실ON, time lddst time 중성화 자궁축농증 아님 스켈링 치과방사선포함 실시하기로 함 고콜레스테롤혈증 고중성지방혈증 환자가 고지방 식이를 하지 않음 alp 상승 부신비대 고혈압 이후 더 낮은 혈압이 관찰됨 부신피질기능항진증 가능성 있음 난소낭종 중성화수술 실시하기로 함 ,,10, 부 신피질 기능 항진증 · 커싱 증후군,내분비 질환 ,다뇨/다발(다음),다뇨/다발(다음),153,5
Shih Tzu(시추),MN,2078,D_VIP, refer.다온 의뢰병원관련 진료전 전화완료 진료후 전화완료 초진일 전화 안됨 원장님 요청사항 급성 간수치 상승 및 황달 보여 담낭파열 가능성 평가 요청하심. 주호소 급격한 체중감소 기력저하 식욕부진 황달. 기립불가. 현증경과 month 이상 지속된 식욕부진과 급격한 기력저하로 병원 내원함. 원래 kg 나가던 아이. 아에 month 간 아무 것도 먹지 않았고 보호자 분이 부분적으로 강급했음. 심한 탈수 보인다고 들었음. 일주일 간 입원처치 진행했고 퇴원 하려던 중 담낭파열 의심되어 본원에 의뢰됨. 친정어머님이 키우시는 아이로 전후 사정 정확히 모르시나 이전까지 보행이나 다른 행동이상 등은 보이지 않음. 그 전 검진 병력 없으며 눈이 안 보여서 안과검진만 받은 적 있음. 시력 회복 힘들단 얘기만 들었음. toxicosis 가능성 없음. 뭐 먹었을 가능성 없음. pupd 있었음. 다온 ah에서의 경과 내원 당시 severe hypovolemic shock 상태. 공격적인 수액처치 진행 후 익일 폐수종 발생의심되었고 심장초음파 상 경미한 mr 확인됨. 이후 lddst 진행했고 쿠싱 진단하여 trilostane 복용 시작함. 점점 회복하여 퇴원 예정 중 금일 급격한 간수치 상승 및 황달 새로이 확인되어 담낭파열 감별위해 본원 refer 실시함. cefotaxime time kg bid tramadol time kg bid metronidazole time kg bid enrofloxacin time kg sid dalteparin iu kg bid pimobendan time kg bid trilostane time kg bid famotidine metoclopramide doxycycline 처방함. 신체검사 mental depressed bp bcs mmc yellow crt 혈액검사 cbc wbc hct plt crp c tbil alb nh electrolytes na cl dimer cpl 영상검사 복부초음파 finding ddx gb mucocele cholecystitis vacuolohepatopathy cholangiohepatitis chronic hepatitis ckd with bilateral renal calculi hyperadrenocorticism lt adg rt adg time peritonitis mild cystitis ub calculi chronic pancreatitis ascites echogenic comment 현재 복강내 가스로 모든 장분절과 깊은 곳의 gb wall 의 이상은 확인되지 않은 상태임. gb 파열의 근거가 명확치 않음. cholecystitis 소견이 확인되어 chronic inflammation 에 의해 gb wall necrosis 가능성은 배제할 수 없음. 만성 췌장염 소견이 확인되나 부종이 뚜렷하지 않아 현 복막염의 원인은 gb necrosis 에 의한 bile leakage와 초음파상 확인되지 않은 gi 문제등을 배제할 수 없음. gb wall rupture 진단의 골드스탠다드로 초음파 조영이 추천됨. ct 는 초음파상 보이지 않았던 gi 문제나 담관 확장을 확인하는데 도움이 될 수 있음. radiologist 윤학영 dvm phd dx ddx gb mucocele gb rupture obstruction susp. cholecystitis cholangiohepatitis peritonitis hyperadrenocortisism intracranial diseases neurologic sign head turn nystagmus 현재 담낭파열이 우선적으로 고려되나 명확한 증거들은 확인되지 않음. 오늘은 우선 안정화하고 내일 수치 변화 더 보일 시 다시 고려 예정. 현재로썬 마취 위험성 매우 큼. 수술 진행 시 마취 위험성 안고 진행해야함. rx 식이 royalcanin low fat liquid rer 내복약 pimobendan time kg bid po trilostane time kg bid po silymarin time kg bid po acetylcysteine time kg bid po same time kg sid po vit 그랑페롤 iu sid po tx 수액처치 s kcl time geq taurine ornipural vit vit hepamerz time hr fold nebulization ns acetylcystein 주사제 cefotaxime time kg iv tid metronidazole time kg iv bid marbofloxacin time kg im sid famotidine time kg iv bid ffp time kg cri 입원. 익일 tbil alt ast alp ggt 및 복초 진행. 필요 시 수술 고려될 수 있음. ,"Hpatitis, Hypothyroidism, Gall bladder mucocele, Hyperadrenocorticism","27,28,21,18,29", 담관염 / 담관 간염 , 간 · 담도계 및 췌장 질환,"체중 변화, 체중 증가, 체중 감소 ,기력저하,식욕부진, 식욕저하,황달,부전마비, 완전마비","체중 변화, 체중 증가, 체중 감소 ",2358,17
British Shorthair Cat(브리티쉬 숏헤어 고양이),F               ,미진단,G_부천이지,어제보다 컨디션이 안좋은것 같다 하심 츄르만 먹고 살료는 안먹음 균형을 잘 못잡는거 같고 기력이 없음 어제 드린 내복약 및 안약 처치 하심. no dehydration status deep pain 및 감각은 있으나 걷다가도 간헐적으로 쓰러짐 균형을 잘 못잡음 cbc leukopenia lymphocytopenia mild thrombocytopenia chemistry ag ratio 간수치 mild 상승 saa 상승 fiv felv negative 상담 현재 나타난 임상증상 및 혈액검사 결과를 토대로 fip 가능성 높다고 판단됨 보호자분께서 fip 에 대해 충분히 알고 계심. 일단 약먹이면서 지켜보고 안좋으면 안락사까지 고려중이심 pds 처방 후 추후 클로람부실도 처방 고려 인터페론까지는 비용문제로 원치 않으심 원내에서 d can 잘 먹음 동거묘는 당분간 다른집에 맡겨두신다 함 경구제 독시사이클린 time kg bid pds time kg bid 파모티딘 time kg bid ,,"13,21",,,"허탈(붕괴),식욕부진, 식욕저하",허탈(붕괴),499,18
A.Cocker Spaniel(아메리카 코커),F               ,normal,F_센트럴,다음다뇨 다식 증상이 있어서 검사 실시 혈액검사 nsf 요검사 nsf 요비중 money 이상 이어서 현재 다음증상은 정상 소견이라고 설명드림 현재 검사에서 다음다뇨다식과 관련된 특이 소견이 없어서 추가 검사 없이 경과 보기로함 ,x,"10,65",,,"다뇨/다발(다음),식탐",다뇨/다발(다음),127,5
